
Name                                         ProcessId ExecutablePath                                                  
RSI Launcher.exe                                 33644 C:\Program Files\Roberts Space Industries\RSI Launcher\RSI La...
RSI Launcher.exe                                 65256 C:\Program Files\Roberts Space Industries\RSI Launcher\RSI La...
RSI Launcher.exe                                 32672 C:\Program Files\Roberts Space Industries\RSI Launcher\RSI La...
RSI Launcher.exe                                 36264 C:\Program Files\Roberts Space Industries\RSI Launcher\RSI La...
RSI Launcher.exe                                 62220 C:\Program Files\Roberts Space Industries\RSI Launcher\RSI La...
powershell.exe                                   48936 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                      48132 C:\WINDOWS\system32\conhost.exe                                 
RegAsm.exe                                       43588 C:\Windows\Microsoft.NET\Framework\v4.0.30319\RegAsm.exe        
StarCitizen_Launcher.exe                         43976 C:\Program Files\Roberts Space Industries\StarCitizen\LIVE\St...
EasyAntiCheat_EOS.exe                            44044                                                                 
StarCitizen.exe                                  74252                                                                 
svchost.exe                                      47220                                                                 
powershell.exe                                   19340 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                      19376 C:\WINDOWS\system32\conhost.exe                                 
GameBarPresenceWriter.exe                        19496 C:\Windows\System32\GameBarPresenceWriter.exe                   
powershell.exe                                   78256 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                      58900 C:\WINDOWS\system32\conhost.exe                                 
mscopilot_proxy.exe                               6844 C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilo...
powershell.exe                                   16752 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                      32968 C:\WINDOWS\system32\conhost.exe                                 
chrome.exe                                       70312 C:\Program Files\Google\Chrome\Application\chrome.exe           
chrome.exe                                       41544 C:\Program Files\Google\Chrome\Application\chrome.exe           
chrome.exe                                       41548 C:\Program Files\Google\Chrome\Application\chrome.exe           
chrome.exe                                       52832 C:\Program Files\Google\Chrome\Application\chrome.exe           
chrome.exe                                       51784 C:\Program Files\Google\Chrome\Application\chrome.exe           
chrome.exe                                       50404 C:\Program Files\Google\Chrome\Application\chrome.exe           
chrome.exe                                       49772 C:\Program Files\Google\Chrome\Application\chrome.exe           
cmd.exe                                          34944 C:\WINDOWS\system32\cmd.exe                                     
cmd.exe                                          47328 C:\WINDOWS\system32\cmd.exe                                     
conhost.exe                                      47740 C:\WINDOWS\system32\conhost.exe                                 
conhost.exe                                      50448 C:\WINDOWS\system32\conhost.exe                                 
chrome-native-host.exe                           72660 C:\Users\DEVIL\AppData\Local\Packages\Claude_pzs8sxrjxfjjc\Lo...
iCloudPasswordsExtensionHelper.exe               39056 C:\Program Files\WindowsApps\AppleInc.iCloud_15.8.127.0_x64__...
powershell.exe                                   35728 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                      52204 C:\WINDOWS\system32\conhost.exe                                 
chrome.exe                                       30740 C:\Program Files\Google\Chrome\Application\chrome.exe           
chrome.exe                                       19668 C:\Program Files\Google\Chrome\Application\chrome.exe           
chrome.exe                                       38352 C:\Program Files\Google\Chrome\Application\chrome.exe           
chrome.exe                                       32740 C:\Program Files\Google\Chrome\Application\chrome.exe           
chrome.exe                                       44504 C:\Program Files\Google\Chrome\Application\chrome.exe           
chrome.exe                                       32452 C:\Program Files\Google\Chrome\Application\chrome.exe           
powershell.exe                                   55888 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                      55412 C:\WINDOWS\system32\conhost.exe                                 
powershell.exe                                   72396 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                      39084 C:\WINDOWS\system32\conhost.exe                                 
powershell.exe                                   59028 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                      67952 C:\WINDOWS\system32\conhost.exe                                 
powershell.exe                                   28352 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                      54112 C:\WINDOWS\system32\conhost.exe                                 
powershell.exe                                   22780 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                      23992 C:\WINDOWS\system32\conhost.exe                                 
JoyToKey.exe                                     21344 C:\Program Files (x86)\JoyToKey\JoyToKey.exe                    
powershell.exe                                   72752 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                       9400 C:\WINDOWS\system32\conhost.exe                                 
powershell.exe                                   41324 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                      63996 C:\WINDOWS\system32\conhost.exe                                 
powershell.exe                                   35744 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                      30408 C:\WINDOWS\system32\conhost.exe                                 
powershell.exe                                   75752 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                      26952 C:\WINDOWS\system32\conhost.exe                                 
powershell.exe                                   59736 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                      19124 C:\WINDOWS\system32\conhost.exe                                 
